année,pcaet,BVA,,,
2016,218000,218000,,,
2017,213970,191000,,,
2018,209940,203000,,,
2019,205910,211000,,,
2020,201880,86000,,,
2021,197850,133000,,,
2022,193820,241000,,,
2023,189790,275000,,,
2024,185760,311546,,,
2025,181730,315553,,,
2026,177700,319560,,,
2027,175175,323566,,,
2028,172650,327573,,,
2029,170125,331580,,,
2030,167600,335586,,,
2031,165106,339593,,,
2032,162612,343600,,,
2033,160118,347606,,,
2034,157624,355423,,,
2035,155130,362844,,,
2036,152636,363516,,,
2037,150142,362971,,,
2038,147648,348695,,,
2039,145154,334436,,,
2040,142660,320196,,,
2041,140166,310025,,,
2042,137672,299898,,,
2043,135178,290356,,,
2044,132684,280893,,,
2045,130190,271511,,,
2046,127696,248953,,,
2047,125202,226570,,,
2048,122708,204363,,,
2049,120214,182335,,,
2050,117720,160487,,,
