date,trajectoire_pcaet,trajectoire_BVA
2026-01-01,446.2719153,1106.821676
2026-01-02,945.0088308,1026.190168
2026-01-03,1456.719021,995.1125672
2026-01-04,1970.55965,1077.790765
2026-01-05,2482.174523,986.8098748
2026-01-06,2996.015153,688.8853504
2026-01-07,3509.855783,548.2319268
2026-01-08,4008.783332,790.1786106
2026-01-09,4486.215848,833.1512455
2026-01-10,4948.163381,780.0579569
2026-01-11,5392.686124,905.4343646
2026-01-12,5811.071686,837.7584734
2026-01-13,6205.450504,451.3304484
2026-01-14,6582.404533,448.7330568
2026-01-15,6933.126063,750.3880747
2026-01-16,7268.267292,836.4599121
2026-01-17,7601.373398,765.5012828
2026-01-18,7934.479505,891.3243225
2026-01-19,8267.585611,835.6495069
2026-01-20,8598.465961,382.715763
2026-01-21,8931.47675,448.534737
2026-01-22,9247.444019,746.3975741
2026-01-23,9565.637046,791.8668132
2026-01-24,9890.126075,771.6321605
2026-01-25,10225.2673,913.3583384
2026-01-26,10556.14765,851.9773097
2026-01-27,10889.25376,376.6943306
2026-01-28,11222.35987,448.7330568
2026-01-29,11557.88236,746.3975741
2026-01-30,11895.24935,791.8668132
2026-01-31,12232.61634,786.3608594
2026-02-01,12572.20908,1064.231533
2026-02-02,12915.96739,966.9566395
2026-02-03,13261.85613,560.9444943
2026-02-04,13605.51912,634.9536461
2026-02-05,13957.70387,994.86061
2026-02-06,14314.1495,975.9451568
2026-02-07,14672.63025,1000.469935
2026-02-08,15033.24145,1055.755312
2026-02-09,15387.366,956.4530998
2026-02-10,15739.36012,554.1208252
2026-02-11,16091.35423,638.7992876
2026-02-12,16441.21791,992.9620663
2026-02-13,16793.21202,945.1368796
2026-02-14,17149.46702,1002.578548
2026-02-15,17512.20865,1058.257073
2026-02-16,17890.05399,978.18001
2026-02-17,18289.77564,553.0504311
2026-02-18,18708.9572,626.7826715
2026-02-19,19141.39799,1011.312095
2026-02-20,19589.22844,954.8063066
2026-02-21,20037.0589,1001.988323
2026-02-22,20491.37599,1056.569311
2026-02-23,20937.076,973.9091225
2026-02-24,21389.16733,551.0194993
2026-02-25,21834.86734,634.9536461
2026-02-26,22278.43692,1000.128281
2026-02-27,22713.48473,952.112206
2026-02-28,23148.53254,997.0029377
2026-03-01,23579.31947,1060.415171
2026-03-02,24016.68836,963.4057799
2026-03-03,24451.92681,557.5110417
2026-03-04,24889.39101,675.1766285
2026-03-05,25331.11609,935.9906488
2026-03-06,25777.00674,955.1466368
2026-03-07,26227.3489,1001.988323
2026-03-08,26679.8215,1077.533195
2026-03-09,27136.55498,965.515361
2026-03-10,27593.28846,593.3060159
2026-03-11,28047.8915,675.1766285
2026-03-12,28500.36411,940.5212432
2026-03-13,28952.83671,955.5316353
2026-03-14,29403.17887,993.0124372
2026-03-15,29853.52103,1064.494758
