année,pax_total,mvt_total,emissions_scope_1_2,emissions_aeronefs,emissions_totales,intensite_aéronef_scope_1_2,intensite_aéronef_pax,intensite_aéronefs_mvt,source
2010,2900000,20500,NC,195160,,,,,DGAC (uniquement aéronefs)
2015,4291098,27712,NC,282030,,,,,DGAC (uniquement aéronefs)
2016,3955896,25224,1020,235110.193,276918.5422,0.257842977,59.43,9320.89,Calculs auteurs
2017,3474570,22365,846.25,217919.796,254876.4378,0.243555318,62.72,9743.79,Calculs auteurs
2018,3738865,22960,1019,234628.424,273719.9415,0.272542603,62.75,10219.01,Calculs auteurs
2019,3979911,23979,874.9,233296.476,274353.7211,0.219829036,58.62,9729.2,Calculs auteurs
2020,1244391,9718,680,101986.164,115340.2812,0.54645204,81.96,10494.56,Calculs auteurs
2021,2057893,15182,710,157807.205,179083.8964,0.345013079,76.68,10394.36,Calculs auteurs
2022,4588696,28988,860,313287.691,356013.5688,0.187417079,68.27,10807.5,Calculs auteurs
2023,5623326,33745,816,328391.305,378609.1771,0.14504986,58.4,9731.55,Calculs auteurs
2024,6554546,39200,677,376735.124,430922.2517,0.103287093,57.48,9610.59,Calculs auteurs
2025,6681907,39637,627,377955.8628,430996.5809,0.093835487,56.56,9535.43,Calculs auteurs
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
